Title,US Gross,Worldwide Gross,US DVD Sales,Production Budget,Release Date,MPAA Rating,Running Time min,Distributor,Source,Major Genre,Creative Type,Director,Rotten Tomatoes Rating,IMDB Rating,IMDB Votes
Modern Problems,24474312.0,24474312.0,,8000000.0,Dec 25 1981,,,20th Century Fox,Original Screenplay,Comedy,Contemporary Fiction,,,4.5,2144.0
Amadeus,51973029.0,51973029.0,,18000000.0,Sep 19 1984,R,,Warner Bros.,Based on Play,Drama,Dramatization,Milos Forman,96.0,8.4,96997.0
Modern Times,163245.0,163245.0,,1500000.0,Feb 05 2036,,,Kino International,,Comedy,,,100.0,8.5,35773.0
The Mighty Ducks,50752337.0,50752337.0,,10000000.0,Oct 02 1992,PG,,Walt Disney Pictures,Original Screenplay,Comedy,Contemporary Fiction,Stephen Herek,8.0,5.9,15479.0
A Man for All Seasons,28350000.0,28350000.0,,3900000.0,Dec 12 1966,,,Sony Pictures,,,,Fred Zinnemann,85.0,8.1,12460.0
Megaforce,5675599.0,5675599.0,,18000000.0,Jun 25 1982,,,20th Century Fox,Original Screenplay,Action,Science Fiction,Hal Needham,,2.5,1446.0
The Mirror Has Two Faces,41267469.0,41267469.0,,42000000.0,Nov 15 1996,PG-13,127.0,Sony Pictures,Original Screenplay,Romantic Comedy,Contemporary Fiction,Barbra Streisand,54.0,6.0,6055.0
Midnight Cowboy,44785053.0,44785053.0,,3600000.0,May 25 1969,R,,MGM,,,,John Schlesinger,90.0,8.0,34053.0
Midnight Run,38413606.0,81613606.0,,30000000.0,Jul 20 1988,,,Universal,Original Screenplay,Action,Contemporary Fiction,Martin Brest,96.0,7.5,24104.0
Major League,49793054.0,49793054.0,,11000000.0,Apr 07 1989,,,Paramount Pictures,Original Screenplay,Comedy,Contemporary Fiction,,84.0,6.9,20798.0
The Molly Maguires,2200000.0,2200000.0,,11000000.0,Dec 31 1969,PG,,,,,,Martin Ritt,89.0,6.8,1304.0
Malevolence,126021.0,257516.0,,200000.0,Sep 10 2004,R,,Painted Zebra Releasing,Original Screenplay,Horror,,,31.0,5.0,248.0
Mad Max 2: The Road Warrior,24600832.0,24600832.0,,2000000.0,May 21 1982,,,Warner Bros.,,Action,Science Fiction,George Miller,,,
It's a Mad Mad Mad Mad World,46300000.0,60000000.0,,9400000.0,Nov 07 1963,,,,,,,,,7.5,14460.0
Mad Max,8750000.0,99750000.0,,200000.0,Mar 21 1980,,,,,Action,Science Fiction,George Miller,,6.9,36548.0
Mad Max Beyond Thunderdome,36230219.0,36230219.0,,10000000.0,Jul 10 1985,,,Warner Bros.,,Action,Science Fiction,George Miller,,5.9,24273.0
The Man From Snowy River,20659423.0,20659423.0,,5000000.0,Nov 03 1982,,,20th Century Fox,Original Screenplay,Drama,Historical Fiction,George Miller,80.0,7.0,3101.0
Men of War,0.0,0.0,,6000000.0,Dec 19 1995,,,,,,,,,5.2,1435.0
Monty Python and the Holy Grail,3427696.0,5028948.0,,400000.0,May 10 1975,,,,,,,,,8.4,155049.0
Men with Brooms,4239767.0,4239767.0,,7500000.0,Mar 08 2002,R,,Artisan,Original Screenplay,Comedy,Contemporary Fiction,,63.0,5.8,2559.0
Mutiny on The Bounty,13680000.0,13680000.0,,19000000.0,Nov 08 1962,,,MGM,,,,,69.0,7.9,7608.0
Mommie Dearest,19032000.0,25032000.0,,5000000.0,Sep 18 1981,,,Paramount Pictures,Based on Book/Short Story,Drama,Dramatization,Frank Perry,57.0,6.3,4905.0
March or Die,1000000.0,1000000.0,,7000000.0,Aug 05 1977,,,Sony Pictures,,,,,,6.1,1233.0
Memoirs of an Invisible Man,14358033.0,14358033.0,,40000000.0,Feb 28 1992,,,Warner Bros.,Based on Book/Short Story,Comedy,Science Fiction,John Carpenter,24.0,5.8,8522.0
The Mongol King,900.0,900.0,,7000.0,Dec 31 2003,Not Rated,,,Original Screenplay,Drama,,,,,
My Own Private Idaho,6401336.0,6401336.0,,2500000.0,Sep 29 1991,,,Fine Line,Based on Book/Short Story,Black Comedy,Contemporary Fiction,Gus Van Sant,84.0,7.0,17604.0
Moonraker,70300000.0,210300000.0,,31000000.0,Jun 29 1979,,,MGM,Based on Book/Short Story,Action,Contemporary Fiction,,64.0,6.1,26760.0
Money Train,35324232.0,77224232.0,,68000000.0,Nov 22 1995,R,,Sony Pictures,Original Screenplay,Action,Contemporary Fiction,Joseph Ruben,17.0,5.2,13972.0
Metropolitan,2938000.0,2938000.0,,430000.0,Aug 03 1990,,,,,,,Whit Stillman,88.0,7.2,3355.0
The Life of Brian,20008693.0,20008693.0,,4000000.0,Aug 17 1979,Not Rated,,Rainbow Releasing,Original Screenplay,Comedy,Historical Fiction,,,,
Mallrats,2108367.0,2108367.0,,6100000.0,Oct 20 1995,R,,Gramercy,Original Screenplay,Comedy,Contemporary Fiction,Kevin Smith,53.0,7.1,52807.0
American Desi,902835.0,1366235.0,,250000.0,Mar 16 2001,Not Rated,,Eros Entertainment,Original Screenplay,Romantic Comedy,Contemporary Fiction,,42.0,6.7,1047.0
Mrs. Winterbourne,10039566.0,10039566.0,,25000000.0,Apr 19 1996,PG-13,,Sony Pictures,Based on Book/Short Story,Romantic Comedy,Contemporary Fiction,Richard Benjamin,7.0,5.8,2987.0
Mrs. Doubtfire,219195051.0,441286003.0,,25000000.0,Nov 24 1993,PG-13,,20th Century Fox,Based on Book/Short Story,Comedy,Contemporary Fiction,Chris Columbus,64.0,6.6,56917.0
Mr. Smith Goes To Washington,9000000.0,9000000.0,,1500000.0,Dec 31 1938,,,Sony/Columbia,Original Screenplay,Drama,,Frank Capra,97.0,8.2,33315.0
Mortal Kombat,70433227.0,122133227.0,,20000000.0,Aug 18 1995,PG-13,,New Line,Based on Game,Action,Fantasy,Paul Anderson,35.0,5.4,29605.0
Frankenstein,22006296.0,112006296.0,,45000000.0,Nov 04 1994,R,,Sony Pictures,Based on Book/Short Story,Horror,,Kenneth Branagh,,6.2,19913.0
The Misfits,8200000.0,8200000.0,,4000000.0,Dec 31 1960,,,,,,,John Huston,100.0,7.4,6351.0
My Stepmother Is an Alien,13854000.0,13854000.0,,16000000.0,Dec 09 1988,,,Sony Pictures,Original Screenplay,Comedy,Science Fiction,Richard Benjamin,13.0,4.8,9073.0
The Man Who Shot Liberty Valance,8000000.0,8000000.0,,3200000.0,Jan 01 1962,,,,,,,John Ford,97.0,8.1,22681.0
Mission: Impossible,180981886.0,456481886.0,,80000000.0,May 21 1996,PG-13,110.0,Paramount Pictures,Based on TV,Action,Contemporary Fiction,Brian De Palma,,6.9,86222.0
Meteor,8400000.0,8400000.0,,16000000.0,Dec 31 1978,,,,,,,Ronald Neame,9.0,4.7,2969.0
Multiplicity,20133326.0,20133326.0,,45000000.0,Jul 17 1996,PG-13,117.0,Sony Pictures,Based on Book/Short Story,Comedy,Science Fiction,Harold Ramis,44.0,5.7,11935.0
Mutual Appreciation,103509.0,103509.0,,30000.0,Sep 01 2006,R,,Goodbye Cruel Releasing,Original Screenplay,Comedy,Contemporary Fiction,,,7.0,1102.0
The Muppet Christmas Carol,27281507.0,27281507.0,,12000000.0,Dec 11 1992,,,Walt Disney Pictures,Based on TV,Comedy,,,67.0,7.5,10853.0
The Man with the Golden Gun,21000000.0,97600000.0,,7000000.0,Dec 20 1974,,,MGM,Based on Book/Short Story,Action,,Guy Hamilton,52.0,6.7,22431.0
My Fair Lady,72000000.0,72000000.0,,17000000.0,Oct 22 1964,,,,Based on Musical/Opera,Musical,Historical Fiction,George Cukor,94.0,7.9,28039.0
Mystic Pizza,12793213.0,12793213.0,,6000000.0,Oct 21 1988,,,Samuel Goldwyn Films,Original Screenplay,Comedy,Contemporary Fiction,Donald Petrie,82.0,5.9,8413.0
Namastey London,1207007.0,6831069.0,,8400000.0,Mar 23 2007,Not Rated,,Eros Entertainment,Original Screenplay,Romantic Comedy,Contemporary Fiction,,,6.7,1511.0
Naturally Native,10508.0,10508.0,,700000.0,Oct 08 1999,PG-13,,,,,,,,6.8,91.0
Inchon,4408636.0,4408636.0,,46000000.0,Sep 17 1982,,,MGM,Original Screenplay,Drama,Historical Fiction,,,3.0,326.0
Indiana Jones and the Temple of Doom,179880271.0,333080271.0,18998388.0,28000000.0,May 23 1984,,,Paramount Pictures,Original Screenplay,Adventure,Historical Fiction,Steven Spielberg,85.0,7.5,110761.0
Indiana Jones and the Last Crusade,197171806.0,474171806.0,18740425.0,48000000.0,May 24 1989,,,Paramount Pictures,Original Screenplay,Adventure,Historical Fiction,Steven Spielberg,89.0,8.3,171572.0
Neal n' Nikki,100358.0,329621.0,,1300000.0,Dec 09 2005,Not Rated,,Yash Raj Films,,Drama,,,,3.5,494.0
A Nightmare on Elm Street 4: The Dream Master,49369899.0,49369899.0,,13000000.0,Aug 19 1988,,,New Line,Original Screenplay,Horror,Fantasy,Renny Harlin,,5.2,13310.0
"Next Stop, Wonderland",3386698.0,3456820.0,,1000000.0,Aug 21 1998,R,,Miramax,Original Screenplay,Romantic Comedy,Contemporary Fiction,Brad Anderson,,,
Nighthawks,14600000.0,19600000.0,,5000000.0,Apr 10 1981,,,Universal,Original Screenplay,Action,Contemporary Fiction,,71.0,6.3,5649.0
The English Patient,78716374.0,231716374.0,,35000000.0,Nov 15 1996,R,160.0,Miramax,Based on Book/Short Story,Drama,Historical Fiction,Anthony Minghella,83.0,7.3,54484.0
Niagara,2500000.0,2500000.0,,1250000.0,Jan 21 1953,,,20th Century Fox,,,,,,7.0,4698.0
The Naked Gun 2Ω: The Smell of Fear,86930411.0,86930411.0,,23000000.0,Jun 28 1991,,,Paramount Pictures,Based on TV,Comedy,Contemporary Fiction,David Zucker,,6.6,26384.0
Naked Gun 33 1/3: The Final Insult,51041856.0,51041856.0,,30000000.0,Mar 18 1994,PG-13,,Paramount Pictures,Based on TV,Comedy,Contemporary Fiction,Peter Segal,,6.1,24904.0
National Lampoon's Animal House,141600000.0,141600000.0,,3000000.0,Jul 28 1978,R,,Universal,,,,John Landis,90.0,,
Night of the Living Dead,12000000.0,30000000.0,,114000.0,Oct 01 1968,Not Rated,,Walter Reade Organization,Original Screenplay,Horror,Science Fiction,,96.0,6.6,10083.0
No Looking Back,143273.0,143273.0,,5000000.0,Mar 27 1998,R,,Gramercy,,,,Edward Burns,38.0,5.7,1145.0
The Nun's Story,12800000.0,12800000.0,,3500000.0,Dec 31 1958,,,,,,,Fred Zinnemann,93.0,7.5,3313.0
A Nightmare on Elm Street,25504513.0,25504513.0,,1800000.0,Nov 09 1984,,,New Line,Original Screenplay,Horror,Fantasy,Wes Craven,95.0,5.3,12554.0
A Nightmare On Elm Street Part 2: Freddy's Revenge,21163999.0,21163999.0,,3000000.0,Nov 01 1985,,,New Line,Original Screenplay,Horror,Fantasy,,,4.9,16222.0
A Nightmare On Elm Street 3: Dream Warriors,44793222.0,44793222.0,,5000000.0,Feb 27 1987,,,New Line,Original Screenplay,Horror,Fantasy,Chuck Russell,,6.2,17354.0
A Nightmare On Elm Street: The Dream Child,22168359.0,22168359.0,,6000000.0,Aug 11 1989,,,New Line,Original Screenplay,Horror,Fantasy,Stephen Hopkins,,4.7,10849.0
Freddy's Dead: The Final Nightmare,34872033.0,34872033.0,,5000000.0,Sep 13 1991,R,,New Line,Original Screenplay,Horror,Fantasy,,,4.5,12779.0
Wes Craven's New Nightmare,18090181.0,18090181.0,,8000000.0,Oct 14 1994,R,,New Line,Original Screenplay,Horror,Fantasy,Wes Craven,81.0,,
Night of the Living Dead,5835247.0,5835247.0,,4200000.0,Oct 19 1990,R,,Sony/Columbia,Remake,Horror,Fantasy,,67.0,6.6,10083.0
Notorious,24464742.0,24464742.0,,2000000.0,Dec 31 1945,,,,,,,Alfred Hitchcock,97.0,6.3,9811.0
Never Say Never Again,55500000.0,160000000.0,,36000000.0,Oct 07 1983,,,Warner Bros.,Based on Book/Short Story,Action,Contemporary Fiction,,65.0,6.0,21247.0
The Nutcracker,2119994.0,2119994.0,,19000000.0,Dec 31 1992,,,,,,,Emile Ardolino,50.0,5.2,561.0
Nowhere to Run,22189039.0,52189039.0,,15000000.0,Jan 15 1993,,,Sony/Columbia,Original Screenplay,Action,Contemporary Fiction,,26.0,5.0,6746.0
Interview with the Vampire: The Vampire Chronicles,105264608.0,223564608.0,,50000000.0,Nov 11 1994,R,,Warner Bros.,Based on Book/Short Story,Horror,Fantasy,Neil Jordan,,7.4,78953.0
The Nutty Professor,128814019.0,273814019.0,,55000000.0,Jun 28 1996,PG-13,95.0,Universal,Remake,Comedy,Kids Fiction,Tom Shadyac,67.0,5.6,32234.0
Die Unendliche Geschichte,21300000.0,21300000.0,,27000000.0,Jul 20 1984,,,Warner Bros.,Based on Book/Short Story,Adventure,Fantasy,Wolfgang Petersen,,7.4,25704.0
Interview with the Assassin,47329.0,47329.0,,750000.0,Nov 15 2002,R,,,,,,,67.0,6.6,1107.0
Nixon,13668249.0,34668249.0,,45000000.0,Dec 20 1995,R,,Walt Disney Pictures,Based on Real Life Events,Drama,Dramatization,Oliver Stone,75.0,7.1,13761.0
"New York, New York",13800000.0,13800000.0,,14000000.0,Jun 22 1977,,,MGM,Original Screenplay,Musical,,Martin Scorsese,63.0,6.7,1692.0
New York Stories,10763469.0,10763469.0,,15000000.0,Mar 01 1989,,,Walt Disney Pictures,Original Screenplay,Drama,Contemporary Fiction,Francis Ford Coppola,74.0,6.1,6906.0
Obitaemyy ostrov,0.0,15000000.0,,36500000.0,Jan 01 2009,,,,Based on Book/Short Story,Action,Science Fiction,,,5.5,2229.0
Octopussy,67900000.0,187500000.0,,27500000.0,Jun 10 1983,,,MGM,Based on Book/Short Story,Action,Contemporary Fiction,John Glen,47.0,6.6,23167.0
On Deadly Ground,38590458.0,38590458.0,,50000000.0,Feb 18 1994,R,,Warner Bros.,Original Screenplay,Action,Contemporary Fiction,Steven Seagal,,3.8,9579.0
One Flew Over the Cuckoo's Nest,108981275.0,108981275.0,,4400000.0,Nov 19 1975,,,MGM,Based on Book/Short Story,,,Milos Forman,96.0,8.9,214457.0
The Offspring,1355728.0,1355728.0,,1100000.0,Sep 04 1987,,,Moviestore Entertainment,Original Screenplay,Horror,Contemporary Fiction,Jeff Burr,,5.6,424.0
On Her Majesty's Secret Service,22800000.0,82000000.0,,8000000.0,Dec 18 1969,,,MGM,Based on Book/Short Story,Action,,,81.0,6.9,23159.0
The Omen,48570885.0,48570885.0,,2800000.0,Jun 25 1976,,,20th Century Fox,Original Screenplay,Horror,,Richard Donner,84.0,5.4,24523.0
The Omega Code,12610552.0,12678312.0,,7200000.0,Oct 15 1999,PG-13,,Providence Entertainment,Original Screenplay,Action,Fantasy,,8.0,3.3,3814.0
Out of Africa,79096868.0,258210860.0,,31000000.0,Dec 18 1985,,,Universal,Based on Book/Short Story,Drama,Historical Fiction,Sydney Pollack,63.0,7.0,19638.0
Out of the Dark,419428.0,419428.0,,1600000.0,Mar 11 1989,,,New Line,,,,,,5.1,230.0
Ordinary People,52302978.0,52302978.0,,6000000.0,Sep 19 1980,,,Paramount Pictures,Based on Book/Short Story,Drama,Contemporary Fiction,Robert Redford,91.0,7.0,138.0
The Other Side of Heaven,4720371.0,4720371.0,,7000000.0,Dec 14 2001,PG,,Excel Entertainment,Based on Book/Short Story,Drama,Dramatization,,,6.3,1670.0
On the Down Low,1987.0,1987.0,,10000.0,May 28 2004,Not Rated,,Cinema Con Sabor,Original Screenplay,Drama,,,,6.3,113.0
Othello,2844379.0,2844379.0,,11000000.0,Dec 14 1995,R,,Sony Pictures,Based on Play,Drama,Historical Fiction,,68.0,6.9,4289.0
On the Outs,49772.0,49772.0,,250000.0,Jul 15 2005,R,,Fader Films,,Drama,,,,6.5,445.0
On the Waterfront,9600000.0,9600000.0,,910000.0,Jul 28 1954,,,,,,,Elia Kazan,100.0,8.4,41162.0
Outbreak,67823573.0,67823573.0,,50000000.0,Mar 10 1995,R,,Warner Bros.,Original Screenplay,Thriller/Suspense,Contemporary Fiction,Wolfgang Petersen,59.0,6.4,33192.0
The Outsiders,25697647.0,25697647.0,,10000000.0,Mar 25 1983,PG-13,,Warner Bros.,Based on Book/Short Story,Drama,Historical Fiction,Francis Ford Coppola,65.0,7.0,23607.0
The Oxford Murders,3607.0,8667348.0,,10000000.0,Aug 06 2010,R,,Magnolia Pictures,Based on Book/Short Story,Thriller/Suspense,Contemporary Fiction,,10.0,6.1,8066.0
Police Academy,81198894.0,81198894.0,,4500000.0,Mar 23 1984,,,Warner Bros.,Original Screenplay,Comedy,Contemporary Fiction,Hugh Wilson,47.0,6.3,23192.0
Police Academy 7: Mission to Moscow,126247.0,126247.0,,10000000.0,Aug 26 1994,PG,,Warner Bros.,Original Screenplay,Comedy,Contemporary Fiction,,,2.5,13121.0
Paa,199228.0,9791282.0,,4300000.0,Dec 04 2009,,,Reliance Big Pictures,,,,,60.0,7.3,1059.0
Pale Rider,41410568.0,41410568.0,,6900000.0,Jun 28 1985,,,Warner Bros.,Original Screenplay,Western,Historical Fiction,Clint Eastwood,92.0,7.1,15352.0
Patriot Games,83287363.0,178100000.0,,45000000.0,Jun 05 1992,,,Paramount Pictures,Based on Book/Short Story,Action,Contemporary Fiction,Phillip Noyce,75.0,6.9,29544.0
The Pallbearer,5656388.0,5656388.0,,8000000.0,May 03 1996,PG-13,,Miramax,Original Screenplay,Romantic Comedy,Contemporary Fiction,Matt Reeves,39.0,4.7,4166.0
Pocahontas,141579773.0,347100000.0,,55000000.0,Jun 10 1995,G,,Walt Disney Pictures,Based on Real Life Events,Adventure,Historical Fiction,,55.0,6.0,26690.0
Pocketful of Miracles,5000000.0,5000000.0,,2900000.0,Dec 31 1960,,,,,,,Frank Capra,63.0,7.2,2365.0
PCU,4333569.0,4333569.0,,9000000.0,Apr 29 1994,PG-13,,20th Century Fox,Original Screenplay,Comedy,Contemporary Fiction,,47.0,6.0,6967.0
Pete's Dragon,36000000.0,36000000.0,,10000000.0,Nov 03 1977,,,,,,,,50.0,6.0,4620.0
Pat Garrett and Billy the Kid,8000000.0,11000000.0,,4638783.0,May 23 1973,R,,,,,,Sam Peckinpah,,7.3,6374.0
Poltergeist,74706019.0,121706019.0,,10700000.0,Jun 04 1982,,,MGM,Original Screenplay,Horror,Fantasy,Tobe Hooper,86.0,7.4,32817.0
Poltergeist III,14114000.0,14114000.0,,9500000.0,Jun 10 1988,,,MGM,Original Screenplay,Horror,Fantasy,,14.0,3.8,5387.0
Phantasm II,7000000.0,7000000.0,,3000000.0,Jul 08 1988,,,Universal,,Horror,Fantasy,,29.0,6.3,3781.0
Phenomenon,104636382.0,142836382.0,,32000000.0,Jul 05 1996,PG,124.0,Walt Disney Pictures,Original Screenplay,Drama,Contemporary Fiction,Jon Turteltaub,50.0,6.3,26823.0
Philadelphia,77324422.0,201324422.0,,26000000.0,Dec 22 1993,,,Sony/TriStar,Original Screenplay,Drama,Contemporary Fiction,Jonathan Demme,74.0,7.6,53283.0
The Phantom,17220599.0,17220599.0,,45000000.0,Jun 07 1996,PG,100.0,Paramount Pictures,Based on Comic/Graphic Novel,Action,Super Hero,Simon Wincer,43.0,4.8,9477.0
Pi,3221152.0,4678513.0,,68000.0,Jul 10 1998,R,,Live Entertainment,Original Screenplay,Thriller/Suspense,Science Fiction,Darren Aronofsky,86.0,7.5,53699.0
Pink Flamingos,413802.0,413802.0,,12000.0,Apr 11 1997,NC-17,,Fine Line,,,,John Waters,,5.8,7947.0
The Pirate,2956000.0,2956000.0,,3700000.0,Dec 31 1947,,,,,,,Vincente Minnelli,71.0,7.1,1635.0
The Planet of the Apes,33395426.0,33395426.0,,5800000.0,Feb 08 1968,,,,,,,Franklin J. Schaffner,,,
The Player,21706101.0,28876702.0,,8000000.0,Apr 10 1992,R,,Fine Line,Based on Book/Short Story,Black Comedy,Contemporary Fiction,Robert Altman,,7.7,24451.0
Apollo 13,172070496.0,334100000.0,,65000000.0,Jun 30 1995,PG,,Universal,Based on Book/Short Story,Drama,Dramatization,Ron Howard,,7.5,87605.0
Platoon,137963328.0,137963328.0,,6000000.0,Dec 19 1986,,,Orion Pictures,Original Screenplay,Drama,Historical Fiction,Oliver Stone,86.0,8.2,108641.0
Panic,779137.0,889279.0,,1000000.0,Dec 01 2000,R,,Roxie Releasing,Original Screenplay,Drama,Contemporary Fiction,,92.0,2.7,473.0
The Adventures of Pinocchio,15382170.0,36682170.0,,25000000.0,Jul 26 1996,G,94.0,New Line,Based on Book/Short Story,Adventure,Fantasy,Steve Barron,27.0,5.3,1734.0
Pandora's Box,881950.0,881950.0,,800000.0,Aug 09 2002,R,,Kino International,Original Screenplay,Thriller/Suspense,Contemporary Fiction,,,4.6,386.0
Pink Narcissus,8231.0,8231.0,,27000.0,Dec 24 1999,Not Rated,,,,,,,,6.0,384.0
Penitentiary,287000.0,287000.0,,100000.0,May 10 1980,,,,Original Screenplay,Drama,Contemporary Fiction,,,5.5,233.0
The Pursuit of D.B. Cooper,2104164.0,2104164.0,,12000000.0,Nov 13 1981,,,Universal,Based on Book/Short Story,Adventure,Contemporary Fiction,Roger Spottiswoode,,5.8,442.0
Poetic Justice,27450453.0,27450453.0,,14000000.0,Jul 23 1993,,,Sony/Columbia,Original Screenplay,Drama,Contemporary Fiction,John Singleton,36.0,5.1,3689.0
Porky's,109492484.0,109492484.0,,4000000.0,Mar 19 1982,,,20th Century Fox,Original Screenplay,Comedy,Historical Fiction,,,5.8,15861.0
"Peace, Propaganda and the Promised Land",4930.0,4930.0,,70000.0,Jan 28 2005,Not Rated,,Arab Film Distribution,Based on Real Life Events,Documentary,Factual,,,3.0,75.0
Popeye,49823037.0,49823037.0,,20000000.0,Dec 12 1980,,,Paramount Pictures,,,,Robert Altman,56.0,4.9,11433.0
Predator 2,28317513.0,54768418.0,,35000000.0,Nov 21 1990,,,20th Century Fox,Original Screenplay,Action,Science Fiction,Stephen Hopkins,23.0,6.0,35411.0
Predator,59735548.0,98267558.0,,18000000.0,Jun 12 1987,,,20th Century Fox,Original Screenplay,Action,Science Fiction,John McTiernan,76.0,7.8,88522.0
The Princess Bride,30857000.0,30857000.0,,15000000.0,Sep 25 1987,,,20th Century Fox,Based on Book/Short Story,Adventure,Fantasy,Rob Reiner,95.0,8.1,123571.0
Prison,354704.0,354704.0,,4000000.0,Mar 04 1988,,,Empire Pictures,Original Screenplay,Horror,,Renny Harlin,,5.8,1154.0
LÈon,19284974.0,45284974.0,,16000000.0,Nov 18 1994,R,,Sony Pictures,Original Screenplay,Thriller/Suspense,Contemporary Fiction,Luc Besson,,8.6,199762.0
Prophecy,21000000.0,21000000.0,,12000000.0,Jun 15 1979,,,,,,,John Frankenheimer,25.0,4.7,1381.0
The Prince of Tides,74787599.0,74787599.0,,30000000.0,Dec 25 1991,,,Sony/Columbia,Based on Book/Short Story,Drama,Contemporary Fiction,Barbra Streisand,74.0,6.4,6829.0
Proud,0.0,0.0,,1000000.0,Sep 23 2005,PG,,Castle Hill Productions,Based on Real Life Events,Drama,Dramatization,,,5.7,161.0
Pretty Woman,178406268.0,463400000.0,,14000000.0,Mar 23 1990,,,Walt Disney Pictures,Original Screenplay,Romantic Comedy,Contemporary Fiction,Garry Marshall,62.0,6.7,60742.0
Partition,0.0,0.0,,10000000.0,Feb 02 2007,,,,Original Screenplay,Drama,Historical Fiction,,40.0,6.6,1275.0
The Postman Always Rings Twice,12200000.0,44200000.0,,12000000.0,Mar 20 1981,,,,,,,Bob Rafelson,70.0,6.4,6886.0
Peggy Sue Got Married,41382841.0,41382841.0,,18000000.0,Oct 10 1986,,,Sony/TriStar,Original Screenplay,Comedy,Fantasy,Francis Ford Coppola,88.0,6.3,12457.0
Peter Pan,87400000.0,87400000.0,90536550.0,4000000.0,Feb 05 1953,PG,,RKO Radio Pictures,Based on Book/Short Story,Adventure,Fantasy,,83.0,7.1,16894.0
Pet Sematary,57469179.0,57469179.0,,11500000.0,Apr 21 1989,,,Paramount Pictures,Based on Book/Short Story,Horror,Fantasy,,50.0,6.3,19257.0
Patton,62500000.0,62500000.0,,12000000.0,Jan 01 1970,,,,,,,Franklin J. Schaffner,97.0,8.1,39570.0
The Puffy Chair,194523.0,194523.0,,15000.0,Jun 02 2006,R,,IDP/Goldwyn/Roadside,,,,,,6.4,1701.0
Pulp Fiction,107928762.0,212928762.0,,8000000.0,Oct 14 1994,R,,Miramax,Original Screenplay,Drama,Contemporary Fiction,Quentin Tarantino,94.0,8.9,417703.0
Paint Your Wagon,31678778.0,31678778.0,,20000000.0,Oct 15 1969,PG-13,,Paramount Pictures,Based on Play,Musical,Historical Fiction,,23.0,6.5,5037.0
The Prisoner of Zenda,7000000.0,7000000.0,,12500000.0,May 25 1979,,,Universal,Based on Book/Short Story,Comedy,Contemporary Fiction,,,4.6,406.0
The Perez Family,2794056.0,2794056.0,,11000000.0,May 12 1995,R,,Goldwyn Entertainment,Based on Book/Short Story,Comedy,Historical Fiction,Mira Nair,67.0,6.0,1177.0
Q,255000.0,255000.0,,1200000.0,Nov 19 1982,,,United Film Distribution Co.,Original Screenplay,Horror,Fantasy,,,6.1,1899.0
The Quick and the Dead,18552460.0,18552460.0,,32000000.0,Feb 10 1995,R,,Sony Pictures,Original Screenplay,Western,Historical Fiction,Sam Raimi,56.0,6.3,27352.0
Quigley Down Under,21413105.0,21413105.0,,20000000.0,Oct 19 1990,,,MGM,Original Screenplay,Western,Historical Fiction,Simon Wincer,60.0,6.5,6001.0
La Guerre du feu,20959585.0,20959585.0,,12500000.0,Feb 12 1982,,,20th Century Fox,Based on Book/Short Story,Adventure,Historical Fiction,Jean-Jacques Annaud,,7.4,6198.0
Quo Vadis?,30000000.0,30000000.0,,8250000.0,Feb 23 1951,,,,,,,,88.0,5.8,898.0
Rang De Basanti,2197694.0,29197694.0,,5300000.0,Jan 27 2006,Not Rated,,UTV Communications,Original Screenplay,Drama,Contemporary Fiction,,,8.1,12116.0
Robin and Marian,8000000.0,8000000.0,,5000000.0,Mar 11 1976,,,,,,,,68.0,6.5,4800.0
Ransom,136492681.0,308700000.0,,70000000.0,Nov 08 1996,R,121.0,Walt Disney Pictures,Original Screenplay,Action,Contemporary Fiction,Ron Howard,70.0,6.6,38524.0
Rosemary's Baby,33395426.0,33395426.0,,3200000.0,Jun 12 1968,,,,,,,Roman Polanski,98.0,8.1,50860.0
Rebecca,6000000.0,6000000.0,,1288000.0,Dec 31 1939,,,MGM,Based on Book/Short Story,Drama,,Alfred Hitchcock,100.0,8.4,35429.0
Robin Hood: Prince of Thieves,165493908.0,390500000.0,,50000000.0,Jun 14 1991,PG-13,,Warner Bros.,Traditional/Legend/Fairytale,Adventure,Historical Fiction,Kevin Reynolds,56.0,6.7,54480.0
Rumble in the Bronx,32281907.0,36238752.0,,7500000.0,Feb 23 1996,R,100.0,New Line,Original Screenplay,Action,Contemporary Fiction,,,,
Rob Roy,31390587.0,31390587.0,,28000000.0,Apr 07 1995,R,,MGM,Based on Real Life Events,Drama,Dramatization,Michael Caton-Jones,71.0,6.8,15630.0
Raging Bull,23380203.0,23380203.0,,18000000.0,Nov 14 1980,Not Rated,,MGM,Based on Real Life Events,Drama,Dramatization,Martin Scorsese,98.0,8.4,90015.0
Richard III,2684904.0,4204857.0,,9200000.0,Dec 29 1995,R,,MGM,Based on Play,Drama,Historical Fiction,,95.0,7.5,6625.0
Raising Cain,21171695.0,21171695.0,,11000000.0,Aug 07 1992,,,Universal,Original Screenplay,Thriller/Suspense,Contemporary Fiction,Brian De Palma,53.0,5.7,5135.0
RoboCop,53424681.0,53424681.0,,13000000.0,Jul 17 1987,,,Orion Pictures,Original Screenplay,Action,Science Fiction,Paul Verhoeven,88.0,7.6,52898.0
RoboCop 3,10696210.0,10696210.0,,22000000.0,Nov 05 1993,,,Orion Pictures,Original Screenplay,Action,Science Fiction,,,3.4,13310.0
