year,country,cluster,pop,life_expect,fertility
1970,South Africa,2,22739921,53.696,5.47
1975,South Africa,2,25815144,55.527,5.0
1980,South Africa,2,29251588,58.161,4.556
1985,South Africa,2,34254092,60.834,3.85
1990,South Africa,2,38391094,61.888,3.343
1995,South Africa,2,41779149,60.236,2.954
2000,South Africa,2,44066197,53.365,2.802
2005,South Africa,2,44344136,49.339,2.637
1955,Spain,1,29318745,66.66,2.75
1960,Spain,1,30641187,69.69,2.89
1965,Spain,1,32084511,71.44,2.92
1970,Spain,1,33876479,73.06,2.86
1975,Spain,1,35563535,74.39,2.5700000000000003
1980,Spain,1,37488360,76.3,1.8900000000000001
1985,Spain,1,38534853,76.9,1.48
1990,Spain,1,39350769,77.57,1.27
1995,Spain,1,39749715,78.77,1.182
2000,Spain,1,40016081,79.78,1.287
2005,Spain,1,40341462,80.941,1.409
1955,Switzerland,1,4980000,70.56,2.34
1960,Switzerland,1,5362000,71.32,2.51
1965,Switzerland,1,5943000,72.77,2.27
1970,Switzerland,1,6267000,73.78,1.82
1975,Switzerland,1,6403500,75.39,1.53
1980,Switzerland,1,6385229,76.21,1.53
1985,Switzerland,1,6563770,77.41,1.53
1990,Switzerland,1,6836626,78.03,1.54
1995,Switzerland,1,7157106,79.37,1.47
2000,Switzerland,1,7266920,80.62,1.415
2005,Switzerland,1,7489370,81.701,1.42
1955,Turkey,1,24144571,48.079,6.6
1960,Turkey,1,28217122,52.098,6.19
1965,Turkey,1,31950718,54.336,5.7
1970,Turkey,1,35758382,57.005,5.3
1975,Turkey,1,40529798,59.507,4.715
1980,Turkey,1,45120802,61.036,4.15
1985,Turkey,1,50669003,63.108,3.276
1990,Turkey,1,56084632,66.146,2.904
1995,Turkey,1,61188984,68.835,2.574
2000,Turkey,1,65666677,70.845,2.23
2005,Turkey,1,69660559,71.777,2.143
1955,United Kingdom,1,50946000,70.42,2.49
1960,United Kingdom,1,52372000,70.76,2.81
1965,United Kingdom,1,54350000,71.36,2.52
1970,United Kingdom,1,55632000,72.01,2.04
1975,United Kingdom,1,56215000,72.76,1.72
1980,United Kingdom,1,56314000,74.04,1.8
1985,United Kingdom,1,56620240,75.007,1.81
1990,United Kingdom,1,57493307,76.42,1.78
1995,United Kingdom,1,58426014,77.218,1.7000000000000002
2000,United Kingdom,1,59522468,78.471,1.695
2005,United Kingdom,1,60441457,79.425,1.815
1955,United States,3,165931000,69.49,3.706
1960,United States,3,180671000,70.21,3.314
1965,United States,3,194303000,70.76,2.545
1970,United States,3,205052000,71.34,2.016
1975,United States,3,215973000,73.38,1.788
1980,United States,3,227726463,74.65,1.8250000000000002
1985,United States,3,238466283,75.02,1.924
1990,United States,3,250131894,76.09,2.025
1995,United States,3,266557091,76.81,1.994
2000,United States,3,282338631,77.31,2.038
2005,United States,3,295734134,78.242,2.054
1955,Venezuela,3,6170497,57.907,6.4585
1960,Venezuela,3,7556483,60.77,6.657
1965,Venezuela,3,9067735,63.479,5.9045000000000005
1970,Venezuela,3,10758017,65.712,4.941
1975,Venezuela,3,12674987,67.456,4.4685
1980,Venezuela,3,14767890,68.557,3.957
1985,Venezuela,3,16997509,70.19,3.6485000000000003
1990,Venezuela,3,19325222,71.15,3.25
1995,Venezuela,3,21555902,72.146,2.9415
2000,Venezuela,3,23542649,72.766,2.723
2005,Venezuela,3,25375281,73.747,2.547
